county,Population,Tax Assessed
Alameda,1671855,5909877
Alpine,1115,907
Amador,37577,38485
Butte,206362,202660
Calaveras,44286,52063
Colusa,22075,20413
Contra Costa,1149800,3550032
Del Norte,27193,13457
El Dorado,192012,410450
Fresno,1026358,841638
Glenn,29507,18643
Humboldt,132706,104785
Imperial,188090,90941
Inyo,18429,20074
Kern,912975,627129
Kings,154745,78665
Lake,63771,34709
Lassen,28872,17136
Los Angeles,10171593,21143806
Madera,158794,101816
Marin,258956,2057840
Mariposa,17778,12228
Mendocino,87491,73527
Merced,284761,148269
Modoc,9416,3499
Mono,13447,18791
Monterey,441290,609330
Napa,138711,439787
Nevada,97439,172853
Orange,3190832,8618867
Placer,397469,911622
Plumas,18246,14239
Riverside,2449299,2011927
Sacramento,1562242,1952626
San Benito,62789,94246
San Bernardino,2184112,1638154
San Diego,3352145,6834996
San Francisco,899891,7663439
San Joaquin,776068,727991
San Luis Obispo,276151,498695
San Mateo,775132,6926526
Santa Barbara,451329,934305
Santa Clara,1962251,11515415
Santa Cruz,270067,654563
Shasta,177692,167305
Sierra,3117,1981
Siskiyou,43792,26829
Solano,440198,550546
Sonoma,491134,1068139
Stanislaus,555955,478166
Sutter,101160,75478
Tehama,65266,34017
Trinity,13291,7498
Tulare,480788,271220
Tuolumne,52353,59077
Ventura,841439,1797688
Yolo,221718,318765
Yuba,79089,39614
#VALUE!,,
