County,Median Home Value
  San Mateo,1384.00
  San Francisco,1297.00
  Santa Clara,1297.00
  Marin,1279.00
  Santa Cruz,1066.00
  Alameda,966.00
  Orange,932.00
  Napa,881.00
  Santa Barbara,879.00
  Monterey,846.00
  San Diego,833.00
  Los Angeles,831.00
  Sonoma,824.00
  Ventura,824.00
  San Luis Obispo,782.00
  Yolo,752.00
  Placer,748.00
  El Dorado,711.00
  San Benito,684.00
  Contra Costa,671.00
  Solano,603.00
  Nevada,591.00
  Riverside,543.00
  Sacramento,541.00
  San Joaquin,538.00
  San Bernardino,516.00
  Mendocino,488.00
  Mono,484.00
  Humboldt,482.00
  Alpine,468.00
  Stanislaus,458.00
  Lake,453.00
  Sutter,438.00
  Yuba,438.00
  Calaveras,427.00
  Amador,413.00
  Tehama,411.00
  Madera,409.00
  Fresno,408.00
  Butte,402.00
  Merced,400.00
  Shasta,398.00
  Tuolumne,395.00
  Mariposa,364.00
  Trinity,359.00
  Colusa,344.00
  Tulare,343.00
  Kings,342.00
  Kern,340.00
  Plumas,325.00
  Inyo,324.00
  Glenn,304.00
  Sierra,288.00
  Del Norte,286.00
  Imperial,276.00
  Siskiyou,269.00
  Lassen,261.00
  Modoc,193.00
,
,
,
,
,
